"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes",0.914957714582519,0.718829168449063,0.624334955169326,0.481851724961237,0.972317812084388,0.811922256048908,0.974817410519866,0.750485280044082
"d__Bacteria--p__Firmicutes--c__Clostridia",0.915335264728371,0.753292133584509,0.624334955169326,0.500996866296096,0.94877591409675,0.784475665170305,0.94213480324154,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales",0.915335264728371,0.753292133584509,0.624334955169326,0.500996866296096,0.94877591409675,0.784475665170305,0.94213480324154,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae",0.517744850821231,0.585020471994398,0.316768267434684,0.341373242045325,0.761818795098104,0.663026878237942,0.832589932494211,0.565959207486402
"d__Bacteria--p__Bacteroidetes",0.878882403567746,0.783826297779966,0.728491274813583,0.709830661881292,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia",0.878882403567746,0.783826297779966,0.728491274813583,0.709830661881292,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales",0.903703808335602,0.785278984724491,0.750726413439856,0.710590800641926,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae",0.993059764925698,0.753292133584509,0.971593788948509,0.82133932173188,0.94877591409675,0.745072747796388,0.967645755779071,0.800751702537584
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides",0.993059764925698,0.753292133584509,0.971593788948509,0.82133932173188,0.94877591409675,0.745072747796388,0.967645755779071,0.800751702537584
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__",0.811943319915454,0.841957589057259,0.514548704953511,0.678535646930286,0.927489762121742,0.784475665170305,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__--__",0.811943319915454,0.841957589057259,0.514548704953511,0.678535646930286,0.927489762121742,0.784475665170305,0.9224676382307,0.739985227664106
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides--__",0.942180384632749,0.736047223709348,0.989803132481253,0.778827597714815,0.94877591409675,0.678745012918443,0.94213480324154,0.739985227664106
"d__Bacteria--p__Proteobacteria",0.257502310595756,0.0634424310454148,0.177512978192498,0.0453645112452465,0.369084257794812,0.196297527603193,0.279012383175234,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria",0.257502310595756,0.0634424310454148,0.177512978192498,0.0453645112452465,0.369084257794812,0.195926951359003,0.279012383175234,0.210065255489436
