"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes",0.563936201440798,0.347786779617879,0.222419990334036,0.160466862631237,0.862244097508797,0.602752261329904,0.86237642579245,0.514164681217048
"d__Bacteria--p__Firmicutes--c__Clostridia",0.60818596626567,0.484870627815728,0.216388438072599,0.204810039680794,0.595783559836701,0.530136942337795,0.608452888878644,0.437164408024936
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales",0.608299389894852,0.483862786642128,0.216446243111132,0.20428515466763,0.595775808878601,0.529388411430027,0.608545461415061,0.436573012508989
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae",0.103142951181563,0.20983583219108,0.024506217329401,0.0787676113524007,0.155717678243323,0.208951766978031,0.205288147849651,0.193992306968609
"d__Bacteria--p__Bacteroidetes",0.460172548157276,0.617757623061821,0.337988730290711,0.461196743435035,0.541588098224854,0.739949349817921,0.593241751636375,0.676924286166392
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia",0.459386066847623,0.617557512935949,0.337383580045342,0.461035684974113,0.540613422570789,0.739691718713438,0.592306019282823,0.676719314151505
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales",0.497925903641899,0.622296553932616,0.370641656949866,0.465344527226427,0.585508196584537,0.745181722944525,0.627438158324362,0.679630624173516
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae",0.852208896395833,0.533094112995822,0.89146456253609,0.764072822516361,0.803168415857674,0.467365141445108,0.753339320570958,0.586990480196214
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides",0.852208896395833,0.533094112995822,0.89146456253609,0.764072822516361,0.803168415857674,0.467365141445108,0.753339320570958,0.586990480196214
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__",0.311500267388948,0.702957660212237,0.1161657710609,0.399013100553344,0.286140283592904,0.563783802842253,0.410407718557128,0.477450132044636
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__--__",0.311500267388948,0.702957660212237,0.1161657710609,0.399013100553344,0.286140283592904,0.563783802842253,0.410407718557128,0.477450132044636
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides--__",0.730107282267561,0.426893823348242,0.969055164160752,0.63081341263459,0.642212731072079,0.337542431232222,0.599820715497486,0.444727646282733
"d__Bacteria--p__Proteobacteria",0.00408242393869121,0.00355081975121266,0.00125380709650264,0.00178898964932,0.00696385392065683,0.0184387430610721,0.00457073224189488,0.0151415889665095
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria",0.00362541744075002,0.00285411853824842,0.00115024100992227,0.00137844752487701,0.00664677926138416,0.014686749027795,0.00420365373119175,0.0125477000647066
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales",0.00908438790487824,0.0144164905863922,0.00279108456277513,0.00587573664817129,0.0144380204378847,0.0444100692189404,0.00842739287861495,0.03950279014466
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae",0.00908438790487824,0.0144164905863922,0.00279108456277513,0.00587573664817129,0.0144380204378847,0.0444100692189404,0.00842739287861495,0.03950279014466
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae",0.149403364222486,0.425658803824472,0.271068429341454,0.619309711102078,0.150927750805825,0.294147925096139,0.327239216070627,0.499927569045657
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--g__Escherichia-Shigella",0.0367404307498513,0.0472784904605079,0.010887274605819,0.0176816319447124,0.0282589329458723,0.0648703823231481,0.0195449517859105,0.0621133673833833
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--g__Escherichia-Shigella--__",0.0367404307498513,0.0472784904605079,0.010887274605819,0.0176816319447124,0.0282589329458723,0.0648703823231481,0.0195449517859105,0.0621133673833833
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Faecalibacterium",0.039959900898444,0.0886340595124546,0.0806081360800951,0.142709169160001,0.0272237446365992,0.0319546631268225,0.0846618747300222,0.0715648918267924
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Faecalibacterium--__",0.039969142064766,0.0886340595124546,0.0806262291156178,0.142709169160001,0.0272281891429627,0.0319546631268225,0.0846728166699565,0.0715648918267924
"d__Bacteria--p__Firmicutes--c__Negativicutes",0.750623287977355,0.697464512881855,0.862261917048469,0.74822591155057,0.375494951813519,0.503379079175093,0.323889289273646,0.449417336050527
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales",0.750623287977355,0.697464512881855,0.862261917048469,0.74822591155057,0.375494951813519,0.503379079175093,0.323889289273646,0.449417336050527
"d__Bacteria--p__Actinobacteria",0.0298515304409721,0.00447464259357668,0.0214397288371282,0.00267292863699855,0.053406822590037,0.0186500734328957,0.0940093422521489,0.0322008450255695
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae",0.866234415136519,0.997366043928627,0.944898140595933,0.863736175894848,0.376421816988848,0.372233740622403,0.284223389592938,0.315155195481809
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae",0.0276716345189487,0.00950327767832215,0.0406239596810073,0.0122169379944985,0.0408293418643351,0.0147869397252078,0.0766310749120813,0.0364922258468498
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia",0.00566828985588142,0.00130297749899776,0.00497820751807559,0.000703938269778107,0.0162559060007523,0.00395694708996222,0.0300980188923592,0.00838662891905263
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales",0.00566828985588142,0.00130297749899776,0.00497820751807559,0.000703938269778107,0.0162559060007523,0.00395694708996222,0.0300980188923592,0.00838662891905263
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",0.0566461361792966,0.019217622462327,0.0337645585221518,0.00838453159434619,0.254460816470965,0.116310060273463,0.322630643841977,0.167740020118658
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",0.0566461361792966,0.019217622462327,0.0337645585221518,0.00838453159434619,0.254460816470965,0.116310060273463,0.322630643841977,0.167740020118658
"d__Bacteria--p__Firmicutes--c__Bacilli",0.115332090985374,0.233037877695582,0.170251083772355,0.249844888148455,0.118359334518595,0.415744912515212,0.130519509892584,0.399695910859027
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia",0.13080980107134,0.0561658558491164,0.188186089502026,0.0858800608919057,0.502906512327603,0.259432784079819,0.37950293171667,0.232802344991217
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales",0.13080980107134,0.0561658558491164,0.188186089502026,0.0858800608919057,0.502906512327603,0.259432784079819,0.37950293171667,0.232802344991217
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae",0.13080980107134,0.0561658558491164,0.188186089502026,0.0858800608919057,0.502906512327603,0.259432784079819,0.37950293171667,0.232802344991217
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",0.0122017914107162,0.00222626473086708,0.0107079379629474,0.00118256111857624,0.0324624182486964,0.00785944948098811,0.0528890602752246,0.0162851356766139
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",0.0131794595963121,0.00235292117265987,0.0114731967668578,0.00125637942637935,0.0340841692527424,0.00826558580165942,0.0556853898145622,0.0171751466752369
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",0.0131794595963121,0.00235292117265987,0.0114731967668578,0.00125637942637935,0.0340841692527424,0.00826558580165942,0.0556853898145622,0.0171751466752369
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales",0.106554645838773,0.00368907735836881,0.165142186395086,0.00521991806678128,0.0901050440743773,0.00468138916186232,0.0882439106327612,0.0112775715423795
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales",0.00151807494669195,2.75265472755464e-05,0.00218950382760196,5.40623657972749e-05,0.000991590997446673,4.75575266491525e-05,0.0009658391004305,3.56295757673136e-05
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae",0.00349019956014627,0.000151222576162151,0.00437934499752835,0.00023403634949941,0.00165670652071027,0.000224532420714869,0.00147560492424924,0.000169475607332457
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__",0.0900179591783672,0.154858226195375,0.11485589626056,0.18424722319103,0.29372652976501,0.464457778518997,0.231840076143971,0.429053853362581
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__--__",0.0900179591783672,0.154858226195375,0.11485589626056,0.18424722319103,0.29372652976501,0.464457778518997,0.231840076143971,0.429053853362581
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group",0.898573665715806,0.8984821547052,0.984475208204895,0.782252155610798,0.781704407281136,0.822808517464678,0.671470259507448,0.953633386795733
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group--__",0.898573665715806,0.8984821547052,0.984475208204895,0.782252155610798,0.781704407281136,0.822808517464678,0.671470259507448,0.953633386795733
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae",0.411467177099905,0.506620490096862,0.390819299582827,0.473569907067878,0.909413671528559,0.80760834902514,0.951778572500735,0.954368839980251
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides",0.464460189488612,0.603610731927932,0.454278458500324,0.578168266982511,0.975943669615095,0.902931675430668,0.936430904096243,0.925185141748162
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9",0.0534730270249541,0.0294963976222455,0.0547515181916698,0.0206628655796359,0.0715813552641022,0.0301402287578115,0.111286395156758,0.0509996707097996
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9--__",0.0543680202370201,0.0314638087432495,0.0553908521469858,0.0218903757895427,0.0715149964433628,0.0306571404180816,0.111840603578562,0.0520746873353247
"d__Bacteria--p__Fusobacteria",0.0246645509465178,0.0587282581762236,0.0280854425335433,0.0615428050984327,0.0394656564895537,0.0999228716159861,0.0751976201737438,0.124378616615948
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia",0.0246645509465178,0.0587282581762236,0.0280854425335433,0.0615428050984327,0.0394656564895537,0.0999228716159861,0.0751976201737438,0.124378616615948
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales",0.0246645509465178,0.0587282581762236,0.0280854425335433,0.0615428050984327,0.0394656564895537,0.0999228716159861,0.0751976201737438,0.124378616615948
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae",0.0252873353569574,0.0565620915102107,0.0288876721874397,0.0597884082902663,0.0409359114935601,0.097900364913618,0.0773173812323743,0.120070341590063
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium",0.0252873353569574,0.0565620915102107,0.0288876721874397,0.0597884082902663,0.0409359114935601,0.097900364913618,0.0773173812323743,0.120070341590063
"d__Bacteria--p__Actinobacteria--c__Actinobacteria",0.463125231223851,0.51399343429668,0.367019707668511,0.515455836941285,0.463559188623442,0.241153302824873,0.581553955082402,0.276078673375627
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae",0.144778802761827,0.00379047052125145,0.223760653817044,0.0054084464323361,0.108055252750789,0.00410285990850214,0.114452957908457,0.0123452839778268
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus",0.144431731917396,0.00379058550271346,0.222761897184834,0.00535569476200934,0.107600453231764,0.00399208246097412,0.113479712695011,0.0118783004141044
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus--__",0.144675533762595,0.00365411415198983,0.223818191475796,0.00514650751031483,0.108988266725499,0.00381895492583504,0.116655135049929,0.0113059343819358
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1",0.422238213402303,0.53952331590028,0.581832617252183,0.630650329577695,0.890980614893619,0.824155165259226,0.692417659592837,0.544735489558832
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae",0.610223509818914,0.229514068084209,0.452982069848009,0.142252593014046,0.855446138651879,0.567388059714371,0.96213084481,0.516843636256773
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera",0.855896469277315,0.515235412039601,0.812466239165064,0.766356780562661,0.297211656312373,0.720611366986495,0.271976547957928,0.700985010001097
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella",0.954762768147948,0.126030860139933,0.791052366551075,0.201547390735167,0.7333303697935,0.26209138908621,0.854814610545756,0.227064422139867
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum",0.743752260988112,0.314714085226013,0.628716994387445,0.282935463710352,0.958206137850637,0.536467689252367,0.772899440150579,0.679465359756064
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum--__",0.758442497859794,0.31965662681659,0.640380589502796,0.286453984352077,0.92909515999555,0.546989451988825,0.730839340033081,0.696043324003607
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia",0.530011493281223,0.427302426825853,0.617058639558663,0.530127027558762,0.566920577616265,0.449855281621341,0.440826332795812,0.458945668453773
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia--__",0.530011493281223,0.427302426825853,0.617058639558663,0.530127027558762,0.566920577616265,0.449855281621341,0.440826332795812,0.458945668453773
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella--__",0.95582879266606,0.119899696054796,0.785803653136553,0.196277443511025,0.772670291935691,0.237819575692509,0.910656567155162,0.203258048777045
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium--__",0.0113883844087545,0.0552965764707544,0.0179083549759168,0.0736240562929172,0.0310708992655998,0.120388333400404,0.0523168333246199,0.138515792481462
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium",0.319193031020678,0.172337791417625,0.446027600930502,0.246217260639399,0.498018172118464,0.283086389872449,0.305431800726612,0.179211484880715
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella",0.0218588849491649,0.00164533913769029,0.0217135346046104,0.001854524044617,0.00669143832668292,0.000993527491711013,0.0119465460895323,0.00220804595016344
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium--__",0.325687782868842,0.164885012319602,0.462225907200599,0.239424100658545,0.529832965706537,0.283558664906793,0.341181100482378,0.182463757610443
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae",0.119953362978335,0.171170299350508,0.152086153734093,0.323339363503699,0.196695786355737,0.37195151067455,0.245791418058189,0.348228687706786
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella--__",0.0115898648106487,0.000791715440334496,0.0122415156958253,0.00107314936118362,0.00309969772723088,0.000625490617465639,0.00614178201958062,0.00138842055978764
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group",0.864866174051824,0.424361864028972,0.942114733303631,0.54063487192906,0.449776391390322,0.857081604885406,0.926235960120689,0.710053431742365
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group--__",0.864866174051824,0.424361864028972,0.942114733303631,0.54063487192906,0.449776391390322,0.857081604885406,0.926235960120689,0.710053431742365
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales",0.253889486499061,0.0027473880833018,0.244446162342982,0.00514280152335445,0.307088257151781,0.0140216372897644,0.502564540590444,0.0441383939029428
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae",0.253889486499061,0.0027473880833018,0.244446162342982,0.00514280152335445,0.307088257151781,0.0140216372897644,0.502564540590444,0.0441383939029428
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera--s__uncultured_organism",0.560100262855817,0.406801343199468,0.860469416472509,0.633754315105544,0.561622942634759,0.879940246161906,0.617606695721503,0.907867407395907
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides--__",0.242482944624275,0.478073257666528,0.23590489593928,0.432979889255453,0.670981378729155,0.662743766306182,0.771849408889262,0.803362658885135
"d__Bacteria--p__Verrucomicrobia",0.986578046873321,0.909527422448869,0.732555903350186,0.67177664391126,0.728452749953272,0.715633012561748,0.769896043573109,0.816485890846713
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae",0.986578046873321,0.909527422448869,0.732555903350186,0.67177664391126,0.728452749953272,0.715633012561748,0.769896043573109,0.816485890846713
